paragraph_key,chapter,paragraph_id,quote,characters_involved,clue_category,semantic_score,scene_cluster,why_important,supports_suspect
1:13,1,13,"Then he comes back, pounces on the Chinaman, and seizing him with both hands by the throat, turns him violently on the bed. The Chinaman clutches the aggressive hands, resists, gasps, and protests.",John Jasper,opium_and_double_life,0.1545,0,"The unnamed opium dreamer later identified as Jasper acts out strangulation, linking his hidden life to a possible method.",John Jasper
2:74,2,74,"“I have been taking opium for a pain—an agony—that sometimes overcomes me. The effects of the medicine steal over me like a blight or a cloud, and pass. You see them in the act of passing; they will be gone directly. They will go all the sooner.”",John Jasper,opium_and_double_life,0.4428,0,"Jasper admits secret opium use, establishing the double life introduced in the opening scene.",John Jasper
12:73,12,73,"Once again, an unaccountable expedition this! Jasper (always moving softly with no visible reason) contemplates the scene, and especially that stillest part of it which the Cathedral overshadows. But he contemplates Durdles quite as curiously, and Durdles is by times conscious of his watchful eyes.",John Jasper; Durdles,means_and_opportunity,-0.0278,6,Jasper secretly explores the cathedral and crypt with Durdles before Edwin disappears.,John Jasper
12:85,12,85,"As Durdles recalls that touching something in his dream, he looks down on the pavement, and sees the key of the crypt door lying close to where he himself lay.",John Jasper; Durdles,means_and_opportunity,0.2344,6,"While Durdles is drugged or deeply asleep, the crypt key lies loose and Jasper has unexplained time alone.",John Jasper
19:32,19,32,"“Rosa, even when my dear boy was affianced to you, I loved you madly; even when I thought his happiness in having you for his wife was certain, I loved you madly; even when I strove to make him more ardently devoted to you, I loved you madly; even when he gave me the picture of your lovely face so carelessly traduced by him, which I feigned to hang always in my sight for his sake, but worshipped in torment for years, I loved you madly; in the distasteful work of the day, in the wakeful misery of the night, girded by sordid realities, or wandering through Paradises and Hells of visions into which I rushed, carrying your image in my arms, I loved you madly.”",John Jasper; Rosa Bud; Edwin Drood,motive_and_obsession,0.4449,0,"Jasper confesses obsessive love for Edwin's fiancée dating from before the disappearance, supplying a direct motive.",John Jasper
19:35,19,35,"This lie, so gross, while the mere words in which it is told are so true, is more than Rosa can endure. She answers with kindling indignation: “You were as false throughout, sir, as you are now. You were false to him, daily and hourly. You know that you made my life unhappy by your pursuit of me. You know that you made me afraid to open his generous eyes, and that you forced me, for his own trusting, good, good sake, to keep the truth from him, that you were a bad, bad man!”",John Jasper; Rosa Bud; Edwin Drood,motive_and_obsession,0.3943,7,Rosa explicitly describes Jasper as false to Edwin and says his pursuit made her afraid.,John Jasper
16:63,16,63,"“My dear boy is murdered. The discovery of the watch and shirt-pin convinces me that he was murdered that night, and that his jewellery was taken from him to prevent identification by its means. All the delusive hopes I had founded on his separation from his betrothed wife, I give to the winds. They perish before this fatal discovery. I now swear, and record the oath on this page, That I nevermore will discuss this mystery with any human creature until I hold the clue to it in my hand. That I never will relax in my secrecy or in my search. That I will fasten the crime of the murder of my dear dead boy upon the murderer. And, That I devote myself to his destruction.”",John Jasper; Edwin Drood,behavior_after_disappearance,0.2782,0,"Jasper insists that Edwin was murdered and turns the inquiry into a declared campaign of revenge, behavior compatible with controlling the narrative.",John Jasper
23:4,23,4,"The dreadful suspicion of Jasper, which Rosa was so shocked to have received into her imagination, appeared to have no harbour in Mr. Crisparkle’s. If it ever haunted Helena’s thoughts or Neville’s, neither gave it one spoken word of utterance. Mr. Grewgious took no pains to conceal his implacable dislike of Jasper, yet he never referred it, however distantly, to such a source. But he was a reticent as well as an eccentric man; and he made no mention of a certain evening when he warmed his hands at the gatehouse fire, and looked steadily down upon a certain heap of torn and miry clothes upon the floor.",John Jasper; Rosa Bud,behavior_after_disappearance,0.6061,1,"The narration explicitly records Rosa's suspicion of Jasper and connects it with his obsessive inquiry and torn, muddy clothes.",John Jasper
23:2,23,2,"False pretence not being in the Minor Canon’s nature, he doubtless displayed openly that he would at any time have revived the subject, and even desired to discuss it. The determined reticence of Jasper, however, was not to be so approached. Impassive, moody, solitary, resolute, so concentrated on one idea, and on its attendant fixed purpose, that he would share it with no fellow-creature, he lived apart from human life. Constantly exercising an Art which brought him into mechanical harmony with others, and which could not have been pursued unless he and they had been in the nicest mechanical relations and unison, it is curious to consider that the spirit of the man was in moral accordance o",John Jasper; Mr. Crisparkle,behavior_after_disappearance,0.5272,0,"Jasper becomes isolated, secretive, and fixed on one purpose after the disappearance.",John Jasper
16:31,16,31,"This fairness troubled the Minor Canon much. He felt that he was not as open in his own dealing. He charged against himself reproachfully that he had suppressed, so far, the two points of a second strong outbreak of temper against Edwin Drood on the part of Neville, and of the passion of jealousy having, to his own certain knowledge, flamed up in Neville’s breast against him. He was convinced of Neville’s innocence of any part in the ugly disappearance; and yet so many little circumstances combined so wofully against him, that he dreaded to add two more to their cumulative weight. He was among the truest of men; but he had been balancing in his mind, much to its distress, whether his volunte",Neville Landless; Mr. Crisparkle,Neville_as_false_suspect,0.5948,5,Crisparkle believes Neville innocent even while acknowledging that circumstantial evidence makes him look guilty.,Neville / false-suspect theory
