paragraph_key,chapter,paragraph_id,quote,characters_involved,clue_category,semantic_score,scene_cluster
23:4,23,4,"The dreadful suspicion of Jasper, which Rosa was so shocked to have received into her imagination, appeared to have no harbour in Mr. Crisparkle’s. If it ever haunted Helena’s thoughts or Neville’s, neither gave it one spoken word of utterance. Mr. Grewgious took no pains to conceal his implacable dislike of Jasper, yet he never referred it, however distantly, to such a source. But he was a reticent as well as an eccentric man; and he made no mention of a certain evening when he warmed his hands at the gatehouse fire, and looked steadily down upon a certain heap of torn and miry clothes upon the floor.",John Jasper; Rosa Bud; Mr. Crisparkle; Neville Landless; Helena Landless,behavior_after_disappearance,0.6061,1
16:31,16,31,"This fairness troubled the Minor Canon much. He felt that he was not as open in his own dealing. He charged against himself reproachfully that he had suppressed, so far, the two points of a second strong outbreak of temper against Edwin Drood on the part of Neville, and of the passion of jealousy having, to his own certain knowledge, flamed up in Neville’s breast against him. He was convinced of Neville’s innocence of any part in the ugly disappearance; and yet so many little circumstances combined so wofully against him, that he dreaded to add two more to their cumulative weight. He was among the truest of men; but he had been balancing in his mind, much to its distress, whether his volunte",Edwin Drood; Neville Landless,Neville_as_false_suspect,0.5948,5
8:29,8,29,"“And with all mine, Mr. Jasper.” Neville feels it impossible to say less, but would rather not go. He has an impression upon him that he has lost hold of his temper; feels that Edwin Drood’s coolness, so far from being infectious, makes him red-hot.",John Jasper; Neville Landless; Edwin Drood,behavior_after_disappearance,0.5933,5
10:87,10,87,"“I know that you are not prepossessed in Mr. Neville’s favour,” the Minor Canon was going on, when Jasper stopped him:",John Jasper; Neville Landless,behavior_after_disappearance,0.5925,5
10:7,10,7,"Mr. Neville, on that unfortunate occasion, commits himself under provocation.”",Neville Landless,Neville_as_false_suspect,0.59,5
9:97,9,97,"“I am glad you say so. Because,” proceeded Mr. Grewgious, who had all this time very knowingly felt his way round to action on his remembrance of what she had said of Jasper himself: “because she seems to have some little delicate instinct that all preliminary arrangements had best be made between Mr. Edwin Drood and herself, don’t you see? She don’t want us, don’t you know?”",Edwin Drood; John Jasper,behavior_after_disappearance,0.5748,7
23:1,23,1,"Although Mr. Crisparkle and John Jasper met daily under the Cathedral roof, nothing at any time passed between them having reference to Edwin Drood, after the time, more than half a year gone by, when Jasper mutely showed the Minor Canon the conclusion and the resolution entered in his Diary. It is not likely that they ever met, though so often, without the thoughts of each reverting to the subject. It is not likely that they ever met, though so often, without a sensation on the part of each that the other was a perplexing secret to him. Jasper as the denouncer and pursuer of Neville Landless, and Mr. Crisparkle as his consistent advocate and protector, must at least have stood sufficiently ",Edwin Drood; John Jasper; Mr. Crisparkle; Neville Landless,behavior_after_disappearance,0.5745,1
8:45,8,45,"“Look at him,” cries Jasper, stretching out his hand admiringly and tenderly, though rallyingly too. “See where he lounges so easily, Mr. Neville! The world is all before him where to choose. A life of stirring work and interest, a life of change and excitement, a life of domestic ease and love!",John Jasper; Neville Landless,behavior_after_disappearance,0.5736,5
16:32,16,32,"However, here was a model before him. He hesitated no longer. Addressing Mr. Grewgious, as one placed in authority by the revelation he had brought to bear on the mystery (and surpassingly Angular Mr. Grewgious became when he found himself in that unexpected position), Mr. Crisparkle bore his testimony to Mr. Jasper’s strict sense of justice, and, expressing his absolute confidence in the complete clearance of his pupil from the least taint of suspicion, sooner or later, avowed that his confidence in that young gentleman had been formed, in spite of his confidential knowledge that his temper was of the hottest and fiercest, and that it was directly incensed against Mr. Jasper’s nephew, by th",John Jasper; Mr. Crisparkle,behavior_after_disappearance,0.5719,3
16:47,16,47,"On the suspicions thus urged and supported, Neville was detained, and re-detained, and the search was pressed on every hand, and Jasper laboured night and day. But nothing more was found. No discovery being made, which proved the lost man to be dead, it at length became necessary to release the person suspected of having made away with him. Neville was set at large. Then, a consequence ensued which Mr. Crisparkle had too well foreseen. Neville must leave the place, for the place shunned him and cast him out. Even had it not been so, the dear old china shepherdess would have worried herself to death with fears for her son, and with general trepidation occasioned by their having such an inmate",John Jasper; Neville Landless; Mr. Crisparkle,behavior_after_disappearance,0.5693,5
